Airport 1,Airport 2,Distance
YYZ,ABQ,1551.071666307209
YYZ,ABE,299.46978242444646
YYC,YYZ,1670.9778546995633
YYC,YXE,322.0903505823246
YYC,YWG,740.3174663917347
YYC,YVR,426.4902155720656
YYC,YUL,1867.55021899456
YYC,YEG,152.85338901548798
YYC,XNA,1412.452228327776
YYC,VPS,2002.499908263764
YYC,TYS,1819.5059642495335
YYC,TVC,1378.1129651450462
YYC,TUS,1321.9216692414368
YYC,TUL,1364.8948453846199
YYC,TRI,1851.2933400150512
YYC,TPA,2285.4813905774245
YYC,TLH,2086.0657914980843
YYC,SYR,1843.365924251999
YYC,STL,1427.5569259103656
YYC,SRQ,2316.862420053727
YYC,SNA,1220.3236231665521
YYC,SMF,933.4090256082218
YYC,SLC,720.05784971422
YYC,SJC,1026.182917802179
YYC,SFO,1018.0780154598156
YYC,SEA,450.9120320856696
YYC,SDF,1637.2762630833363
YYC,SBN,1459.158790187943
YYC,SAV,2114.2283752329377
YYC,SAT,1693.2701949680252
YYC,SAN,1280.0599317071267
YYC,RSW,2393.838239793165
YYC,ROC,1775.2655395015254
YYC,ROA,1911.9598592816824
YYC,RNO,849.064216888253
YYC,RIC,2015.2202399367916
YYC,RDU,2027.6474044768638
YYC,RAP,705.4454726542217
YYC,PWM,2076.061662478772
YYC,PVD,2096.675375014592
YYC,PSP,1200.7485094082879
YYC,PSC,407.63748736228763
YYC,PNS,1979.634168058672
YYC,PIT,1765.1311038390425
YYC,PHX,1225.7270062621835
YYC,PHL,2003.8004639380324
YYC,PHF,2066.630807598937
YYC,PDX,547.8449241045209
YYC,PBI,2446.9119233190163
YYC,ORF,2089.50382477124
YYC,ORD,1382.0939129195583
YYC,ONT,1192.2136486263628
YYC,OMA,1095.2295519706795
YYC,OKC,1358.16546219295
YYC,OAK,1008.468752305068
YYC,MYR,2126.94074398001
YYC,MTJ,920.3646056323395
YYC,MSY,1902.4419652057175
YYC,MSP,1048.8795779426434
YYC,MSO,290.04351351396167
YYC,MSN,1276.283158555653
